Code,Gender,Group,Age,Education,YIC_Eng,AOA_Eng,PercUse_Eng,Eng_Speaking,Eng_Reading,Eng_Writing,Eng_Understanding,Language1,Language2,Span_Speaking,Span_Reading,Span_Writing,Span_Listening,EngVF,SpnVF
6,Female,Spanish,23,Some High School,.,.,.,.,.,.,.,Spanish,.,.,.,.,.,.,.
10,Female,Spanish,24,High School/GED,0,19,42,8,9,8,9,Spanish,English,.,.,.,.,.,.
1241,Female,Spanish,25,Some College,1,12,19,3,5,4,5,Spanish,English,.,.,.,.,.,.
3-Mar,Female,Spanish,32,Master's Degree,.,4,34,8,8,8,9,Spanish,English,.,.,.,.,28,44
adrveg62,Male,English,21,High School/GED,.,.,.,.,.,.,.,English,.,.,.,.,.,.,.
aidloz27,Female,Spanish,22,Bachelor's Degree,0,5,16,8,9,8,9,Spanish,English,10,10,10,10,.,.
albria73,Female,Spanish,27,Master's Degree,.,6,18,9,9,9,8,Spanish,English,10,10,10,10,.,.
alecal79,Female,Spanish,23,Some High School,.,5,10,7,7,7,7,Spanish,English,10,10,10,10,.,.
alesep25,Female,Spanish,22,High School/GED,0,21,28,7,8,8,7,Spanish,French,10,10,10,10,.,.
alfcas16,Male,Spanish,22,Bachelor's Degree,0,10,16,7,7,7,8,Spanish,English,10,10,10,10,31,41
alfnov14,Male,Spanish,25,Bachelor's Degree,2,7,40,9,9,9,9,Spanish,English,10,10,10,10,.,.
aligua22,Female,English,30,Other,29,1,30,9,10,9,10,English,Spanish,.,.,.,.,40,46
alijim12,Female,Spanish,21,High School/GED,0,7,48,8,8,8,7,Spanish,English,10,10,10,10,30,50
anacan96,Female,Spanish,31,Master's Degree,1,10,18,7,8,7,8,Spanish,English,10,10,10,10,47,56
anasan58,Female,Spanish,54,Master's Degree,.,18,5,7,7,6,8,Spanish,English,10,9,9,9,.,.
anavas09,Female,Russian,24,Master's Degree,2,19,41,7,8,7,8,Russian,Spanish,7,8,7,8,32,29
andagu39,Male,Spanish,24,Bachelor's Degree,0.5,16,15,8,8,8,8,Spanish,English,9,9,9,9,.,.
andcas37,Male,English,23,High School/GED,.,.,.,.,.,.,.,English,.,.,.,.,.,.,.
andcor13,Male,Spanish,22,Some College,.,6,10,5,4,3,6,Spanish,English,9,9,8,8,.,.
andhue93,Male,Spanish,34,Master's Degree,0,10,3,5,8,5,8,Spanish,English,10,10,10,10,.,.
andloz70,Male,Spanish,30,Bachelor's Degree,0,0,30,8,8,8,8,Spanish,English,10,10,10,10,.,.
andmore59,Female,.,39,Master's Degree,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
andqui81,Male,English,23,Bachelor's Degree,.,.,.,.,.,.,.,English,.,.,.,.,.,.,.
andsor95,Male,Spanish,25,Trade School,.,10,21,6,8,6,6,Spanish,English,10,10,10,10,.,.
anglop16,Male,Spanish,21,High School/GED,0,5,40,8,9,8,9,Spanish,English,10,10,10,10,40,40
angnat36,Female,Spanish,29,Trade School,.,.,.,.,.,.,.,Spanish,.,8,9,8,9,.,.
angroj92,Female,Spanish,53,Doctoral or Advanced Degree,.,.,.,.,.,.,.,Spanish,.,10,10,10,10,.,.
annrey47,Female,Spanish,23,Some College,0.5,4,20,7,8,8,8,Spanish,English,10,10,10,10,39,48
antare73,Male,Spanish,50,Bachelor's Degree,.,.,.,.,.,.,.,Spanish,.,0,0,0,0,.,.
armbol,Female,Spanish,57,Some High School,.,.,.,.,.,.,.,Spanish,.,8,7,6,7,.,.
aurure35,Female,Spanish,55,Other,0,7,1,7,7,5,5,Spanish,English,0,0,0,0,.,.
beafru08,Female,Spanish,34,Master's Degree,1,6,21,7,9,8,9,Spanish,English,9,9,9,9,44,46
blabal66,Female,Hungarian,26,Master's Degree,1,15,50,9,9,9,9,Hungarian,Spanish,9,9,9,9,34,19
bramat30,Male,Spanish,26,Bachelor's Degree,.,.,.,.,.,.,.,Spanish,.,10,10,10,10,.,.
brazol35,Female,Spanish,22,Some College,0,15,25,8,8,8,8,Spanish,English,10,10,10,10,.,.
bredez60,Female,Spanish,23,Bachelor's Degree,3,10,30,8,9,9,10,Spanish,English,.,.,.,.,36,38
caijia98,Female,Chinese,18,High School/GED,0,8,20,5,6,6,7,Chinese,English,.,.,.,.,.,.
carare46,Male,Spanish,26,High School/GED,.,.,.,.,.,.,.,Spanish,.,0,0,0,0,.,.
cargon43,Male,Castellano,25,Bachelor's Degree,22,3,10,7,7,6,9,Castellano,Valenciano/Catalán,10,10,10,10,31,56
carmmed43,Male,Spanish,28,Bachelor's Degree,.,.,.,.,.,.,.,Spanish,.,8,9,8,9,.,.
carort59,Male,Spanish,44,Master's Degree,.,0,1,1,1,0,1,Spanish,English,9,9,7,9,.,.
carper11,Female,Spanish,27,Trade School,3,6,30,8,9,8,8,Spanish,English,10,10,10,10,.,.
carpia60,Female,.,30,Some College,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
carrue93,Female,Spanish,36,Master's Degree,.,10,0,1,3,2,2,Spanish,English,9,9,9,9,.,.
catesp60,Female,Spanish,26,Bachelor's Degree,0,19,11,7,7,7,7,Spanish,French,10,10,10,10,.,.
chrcas14,Male,Spanish,20,High School/GED,0,6,2,5,6,4,6,Spanish,English,9,8,9,9,.,.
chrcor77,Male,Spanish,22,High School/GED,22,0,30,10,10,10,10,Spanish,English,10,10,10,10,45,43
clabed42,Female,Spanish,43,Some College,.,.,.,.,.,.,.,Spanish,.,10,10,10,10,.,.
clacul63,Female,.,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
claort128,Female,English,35,Trade School,.,.,.,.,.,.,.,English,.,.,.,.,.,.,.
claort28,Female,Spanish,35,Bachelor's Degree,1,6,13,7,8,6,7,Spanish,English,10,10,9,9,32,33
cridur84,Male,Spanish,26,Other,0,12,30,8,7,7,8,Spanish,English,10,10,10,10,.,.
crilop00,Male,Spanish,25,Bachelor's Degree,0,7,5,2,5,3,2,Spanish,English,9,10,9,10,.,.
danbed86,Female,Spanish,26,Trade School,.,.,.,.,.,.,.,Spanish,.,9,9,9,9,.,.
danbej09,Male,Spanish,25,Master's Degree,.,6,27,7,7,7,8,Spanish,English,10,10,10,10,.,.
danram99,Male,Spanish,24,Trade School,.,22,14,6,8,4,7,Spanish,French,10,10,10,10,.,.
darlui82,Male,Spanish,23,Other,.,12,10,7,6,4,7,Spanish,English,10,10,10,10,.,.
davfor49,Male,Spanish,27,Trade School,.,.,.,.,.,.,.,Spanish,.,0,0,0,0,.,.
diaalv02,Female,Spanish,21,Other,.,.,.,.,.,.,.,Spanish,.,7,0,0,0,.,.
diaech51,Female,Spanish,29,Other,.,.,.,.,.,.,.,Spanish,.,8,8,8,8,.,.
dianea37,Female,Italiano,23,Some College,10,1,12,9,10,9,10,Italiano,Rumano,7,6,7,7,37,40
diaram16,Female,Spanish,24,Trade School,0,10,10,3,4,3,4,Spanish,English,8,8,8,8,.,.
diarod80,Female,Spanish,26,Bachelor's Degree,0,6,10,7,8,7,9,Spanish,English,10,10,10,10,43,53
diauma86,Female,Spanish,37,Other,0,8,17,7,9,7,7,Spanish,English,10,10,10,10,.,.
divcue79,Female,Spanish,23,Bachelor's Degree,.,6,4,5,7,5,5,Spanish,English,9,9,7,9,.,.
dshroz81,Female,Spanish,24,Some College,0,12,9,3,5,3,7,Spanish,English,8,9,8,9,.,.
edwsie46,Male,English,25,High School/GED,0,18,0,0,4,4,4,English,Latín,.,.,.,.,.,.
elelop25,Female,Spanish,26,Master's Degree,1,12,37,9,9,9,9,Spanish,English,10,10,10,10,50,45
eleper07,Female,Spanish,22,Bachelor's Degree,.,.,.,.,.,.,.,Spanish,English,0,0,0,0,.,.
eliuri08,Female,Spanish,40,Master's Degree,1,12,9,7,8,7,9,Spanish,English,10,10,10,10,.,.
emivas47,Female,Spanish,32,Trade School,.,20,19,4,7,6,7,Spanish,English,8,10,10,10,.,.
emmgra57,Female,Spanish,22,Some College,1.5,3,8,7,8,8,10,Spanish,English,10,10,10,10,42,26
eriale88,Female,Spanish,26,Master's Degree,.,.,.,.,.,.,.,Spanish,.,0,0,0,0,.,.
estrod45,Female,Spanish,27,Trade School,.,10,31,5,7,5,7,Spanish,English,9,10,9,10,26,39
fabflo89,Male,Spanish,25,Trade School,0,.,1,5,3,2,4,Spanish,English,10,10,10,10,.,.
felmen98,Male,Spanish,20,Other,0,19,17,8,8,9,7,Spanish,French,10,10,10,10,.,.
fercar68,Male,Spanish,28,Bachelor's Degree,0,6,30,10,10,9,10,Spanish,English,10,10,10,10,.,.
flobec49,Female,Spanish,27,Other,1,5,21,8,8,6,7,Spanish,English,10,10,10,10,.,.
gaosha10,Female,Chinese,20,High School/GED,0,10,9,6,8,6,7,Chinese,English,.,.,.,.,.,.
gemgar72,Female,Spanish,22,High School/GED,0,6,15,7,8,7,8,Spanish,English,10,10,10,10,28,43
gerval96,Male,.,32,Other,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
giuang60,Male,Spanish,28,Trade School,0,6,16,3,5,2,6,Spanish,English,10,10,10,10,.,.
glodua87,Female,Spanish,54,Master's Degree,.,12,10,7,8,7,5,Spanish,English,9,9,9,9,.,.
glotar43,Female,Spanish,22,High School/GED,1,12,30,10,10,9,10,Spanish,English,10,10,10,10,41,48
guiloz31,Male,Spanish,28,High School/GED,4,7,11,7,7,6,8,Spanish,English,10,10,10,10,51,50
haizha88,Female,Chinese,20,High School/GED,0,5,25,8,8,8,8,Chinese,English,.,.,.,.,.,.
herpri82,Male,.,28,Trade School,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ikrsel08,Female,ARABIC,31,Doctoral or Advanced Degree,.,5,49,8,8,8,8,ARABIC,French,0,0,0,0,.,.
inmort91,Female,Spanish,21,Some College,1,3,28,8,8,8,8,Spanish,English,9,9,9,9,61,67
isadez99,Female,Spanish,25,Master's Degree,0,6,38,7,9,7,9,Spanish,English,10,10,10,10,.,.
